ID, TIME, X, Y, Z
1, 0.000000, -0.016458, -0.829979, 0.118904
1, 0.028655, 0.005206, -0.754679, 0.094121
1, 0.055350, -0.005841, -0.696642, 0.079855
1, 0.082448, -0.001020, -0.651364, 0.064240
1, 0.110218, 0.014326, -0.612695, 0.048717
1, 0.136329, 0.017520, -0.582386, 0.051507
1, 0.163110, 0.028910, -0.557284, 0.037909
1, 0.190113, 0.028452, -0.537598, 0.041924
1, 0.216786, 0.027936, -0.521341, 0.017510
1, 0.243392, 0.033256, -0.509323, 0.008186
1, 0.270270, 0.035627, -0.499962, 0.001248
1, 0.297796, 0.020560, -0.491196, 0.013637
1, 0.325145, 0.014856, -0.483963, 0.027487
1, 0.351494, 0.022639, -0.479326, 0.014480
1, 0.379950, 0.020792, -0.476700, 0.002848
1, 0.406028, 0.011906, -0.474586, 0.007263
1, 0.433122, 0.004798, -0.472895, 0.010795
1, 0.461576, 0.006519, -0.471555, -0.000100
1, 0.487997, 0.015970, -0.469399, -0.007589
1, 0.516146, 0.015457, -0.468758, -0.014808
1, 0.542888, 0.030493, -0.466314, -0.014558
1, 0.569193, 0.031109, -0.465376, -0.010319
1, 0.596633, 0.042836, -0.462624, -0.010152
1, 0.623150, 0.036572, -0.461055, 0.005447
1, 0.650192, 0.036330, -0.460667, -0.004225
1, 0.676919, 0.033218, -0.458686, 0.011399
1, 0.703534, 0.041268, -0.457091, 0.010421
1, 0.730578, 0.023954, -0.456634, 0.017170
1, 0.761056, 0.033553, -0.454654, 0.007268
1, 0.787743, 0.030500, -0.453972, -0.004119
1, 0.815007, 0.034882, -0.452889, -0.001194
1, 0.841967, 0.044953, -0.449921, 0.001725
1, 0.868856, 0.046080, -0.448942, 0.008693
1, 0.896838, 0.036499, -0.447871, 0.016193
1, 0.923710, 0.031825, -0.446928, 0.008273
1, 0.950706, 0.016355, -0.444830, 0.017917
1, 0.977228, 0.012532, -0.442203, 0.027487
1, 1.002922, 0.009353, -0.439666, 0.034332
1, 1.029185, 0.020935, -0.436311, 0.032747
1, 1.056398, 0.010177, -0.434353, 0.032353
1, 1.083717, 0.010817, -0.431549, 0.036543
1, 1.107300, 0.014322, -0.427894, 0.017048
1, 1.125055, 0.022568, -0.425071, 0.012567
1, 1.144066, 0.016530, -0.422210, 0.018744
1, 1.161764, 0.019939, -0.418217, 0.023313
1, 1.181035, 0.022248, -0.415099, 0.019112
1, 1.199249, 0.021927, -0.410091, 0.027694
1, 1.217253, 0.017433, -0.406314, 0.031460
1, 1.234517, 0.021247, -0.402479, 0.015695
1, 1.252459, 0.025314, -0.399279, 0.011874
1, 1.269906, 0.021183, -0.395487, 0.020852
1, 1.287336, 0.020537, -0.392162, 0.008278
1, 1.304145, 0.027924, -0.387951, 0.001432
1, 1.321790, 0.029659, -0.385210, -0.002617
1, 1.338956, 0.024720, -0.382416, -0.005621
1, 1.355596, 0.026225, -0.379267, -0.008252
1, 1.373218, 0.026574, -0.375774, -0.013982
1, 1.390592, 0.018444, -0.373297, -0.014193
1, 1.407763, 0.022597, -0.370102, -0.015166
1, 1.425473, 0.026382, -0.366317, -0.015836
1, 1.443168, 0.030345, -0.362809, -0.015988
1, 1.460972, 0.028540, -0.359930, -0.014027
1, 1.478993, 0.027891, -0.356587, -0.019054
1, 1.496918, 0.027408, -0.352603, -0.026738
1, 1.516268, 0.023241, -0.349254, -0.024046
1, 1.534330, 0.029290, -0.344967, -0.022733
1, 1.551306, 0.028084, -0.341445, -0.025922
1, 1.568796, 0.033260, -0.337388, -0.028544
1, 1.586115, 0.036268, -0.333303, -0.031726
1, 1.602935, 0.033975, -0.330318, -0.035439
1, 1.619865, 0.038186, -0.326421, -0.035745
1, 1.637282, 0.039736, -0.323726, -0.033304
1, 1.653864, 0.039512, -0.321298, -0.033546
1, 1.670417, 0.039486, -0.317478, -0.037735
1, 1.687319, 0.045533, -0.313585, -0.036966
1, 1.703973, 0.044492, -0.311338, -0.035843
1, 1.721147, 0.042982, -0.309128, -0.035026
1, 1.738156, 0.039738, -0.306843, -0.034685
1, 1.754881, 0.037657, -0.304381, -0.034532
1, 1.775813, 0.039234, -0.301499, -0.034828
1, 1.793510, 0.036863, -0.299434, -0.033045
1, 1.810971, 0.032656, -0.297993, -0.029097
1, 1.829091, 0.031108, -0.295961, -0.028136
1, 1.847057, 0.029637, -0.293886, -0.026898
1, 1.864839, 0.030619, -0.291817, -0.024016
1, 1.882773, 0.031116, -0.289899, -0.023268
1, 1.901529, 0.028231, -0.288608, -0.017635
1, 1.919250, 0.024625, -0.287466, -0.017621
1, 1.937449, 0.024332, -0.286504, -0.013385
1, 1.954884, 0.023297, -0.285986, -0.009710
1, 1.972198, 0.021378, -0.285694, -0.006339
1, 1.990237, 0.023235, -0.285367, -0.002999
1, 2.008212, 0.018878, -0.285956, -0.006134
1, 2.026966, 0.016732, -0.286536, 0.000142
1, 2.045923, 0.013768, -0.287003, 0.008782
1, 2.065220, 0.007076, -0.288530, 0.004639
1, 2.084308, 0.009436, -0.290133, 0.011632
1, 2.102289, 0.013153, -0.292324, 0.014583
1, 2.120265, 0.008967, -0.295068, 0.019244
1, 2.138181, 0.010813, -0.296933, 0.026077
1, 2.155355, 0.010148, -0.298817, 0.033491
1, 2.172328, 0.011767, -0.301558, 0.036469
1, 2.189574, 0.008357, -0.303918, 0.043137
1, 2.207074, 0.002050, -0.308581, 0.036328
1, 2.224611, -0.000999, -0.311446, 0.042567
1, 2.242849, -0.002524, -0.315162, 0.044275
1, 2.261516, -0.004341, -0.320334, 0.039323
1, 2.279632, -0.004739, -0.324205, 0.040987
1, 2.297449, -0.004574, -0.327726, 0.045114
1, 2.315933, -0.010441, -0.331719, 0.046274
1, 2.334643, -0.018792, -0.336793, 0.040077
1, 2.353680, -0.022088, -0.341988, 0.031252
1, 2.371666, -0.026085, -0.346957, 0.022485
1, 2.389401, -0.023807, -0.351919, 0.018842
1, 2.406510, -0.025253, -0.356456, 0.020372
1, 2.424840, -0.025595, -0.361231, 0.018762
1, 2.442860, -0.031011, -0.364476, 0.019075
1, 2.462606, -0.026091, -0.369186, 0.013231
1, 2.481570, -0.020254, -0.372765, 0.003295
1, 2.501477, -0.019847, -0.376227, 0.009421
1, 2.520092, -0.012208, -0.380308, 0.007979
1, 2.538211, -0.003791, -0.383577, 0.001042
1, 2.555912, -0.010241, -0.387120, 0.003385
1, 2.573452, -0.015572, -0.390210, 0.005769
1, 2.590911, -0.012821, -0.393313, 0.008642
1, 2.608867, -0.008698, -0.395257, -0.003746
1, 2.628477, -0.005162, -0.398215, -0.008400
1, 2.648963, -0.006581, -0.398402, 0.009948
1, 2.668837, -0.006680, -0.398432, -0.009807
1, 2.687498, -0.005736, -0.400956, -0.016359
1, 2.706200, -0.008768, -0.403409, -0.007968
1, 2.724484, -0.010733, -0.405217, -0.012796
1, 2.743938, -0.013011, -0.406310, -0.018149
1, 2.762990, -0.014696, -0.407287, -0.005909
1, 2.786476, -0.009893, -0.407439, -0.012500
1, 2.805005, -0.021824, -0.406266, -0.004835
1, 2.822722, -0.018003, -0.406556, -0.013424
1, 2.841891, -0.014186, -0.406830, -0.008826
1, 2.860080, -0.010725, -0.406083, -0.018132
1, 2.878841, -0.016468, -0.405627, -0.008494
1, 2.897605, 0.006067, -0.401105, -0.014684
1, 2.916978, 0.015629, -0.400135, -0.022500
1, 2.935777, 0.031199, -0.398173, -0.020799
1, 2.954004, 0.038660, -0.396615, -0.025474
1, 2.972764, 0.035661, -0.397668, -0.023389
1, 2.990095, 0.043968, -0.396125, -0.022186
1, 3.007218, 0.050754, -0.395005, -0.020872
1, 3.025993, 0.050372, -0.394885, -0.017048
1, 3.043987, 0.052600, -0.394458, -0.017041
1, 3.062205, 0.059987, -0.392057, -0.017629
1, 3.079824, 0.062365, -0.391629, -0.010257
1, 3.099586, 0.054746, -0.392269, -0.002668
1, 3.118188, 0.060624, -0.389998, -0.006967
1, 3.136336, 0.061868, -0.388397, 0.000807
1, 3.153909, 0.069846, -0.386058, -0.000545
1, 3.171137, 0.072795, -0.385046, -0.001940
1, 3.189050, 0.071615, -0.384590, 0.002207
1, 3.206167, 0.073547, -0.384009, 0.005569
1, 3.222955, 0.081518, -0.381084, 0.004117
1, 3.239804, 0.084664, -0.379572, 0.002715
1, 3.256619, 0.091916, -0.376251, 0.000849
1, 3.273858, 0.086338, -0.377755, 0.005066
1, 3.290579, 0.089052, -0.377166, 0.004679
1, 3.307392, 0.093835, -0.375387, 0.001649
1, 3.324575, 0.097046, -0.373900, 0.004905
1, 3.341522, 0.097314, -0.373311, 0.004344
1, 3.358510, 0.100577, -0.371086, 0.004226
1, 3.376144, 0.096285, -0.371518, 0.006972
1, 3.393666, 0.099604, -0.369109, 0.008161
1, 3.411113, 0.103087, -0.365661, 0.009512
